lang_column,TLA,LSL,SQL,PostScript,Brainfuck,PureScript,'Vim script',ColdFusion,'Propeller Spin',PLSQL,Smalltalk,APL,GLSL,Perl,Processing,CSS,Apex,Haxe,Max,'DIGITAL Command Language',R,NSIS,BlitzBasic,Fantom,QMake,Factor,Scala,CMake,Golo,'Visual Basic',J,LiveScript,Dogescript,XS,UrWeb,'GCC Machine Description',AMPL,Slash,PureBasic,Pascal,Assembly,HyPhy,Cool,LabVIEW,'Pure Data',NewLisp,JavaScript,Befunge,Squirrel,Python,Nginx,CartoCSS,Boo,Rebol,TypeScript,'OpenEdge ABL',Makefile,HTML,IDL,Gnuplot,Clojure,C#,Ada,ABAP,PLpgSQL,Stan,Ruby,'Standard ML',Io,eC,SAS,RenderScript,AspectJ,Idris,Stata,M4,Zephir,'AGS Script',Elm,Verilog,Ragel,AutoIt,ChucK,xBase,ooc,REXX,Rust,XML,JSONiq,Diff,E,Cirru,DM,BitBake,Bro,SystemVerilog,PAWN,Gherkin,Lean,Lua,Turing,'Component Pascal',Brightscript,Mako,OpenSCAD,Clarion,KRL,ANTLR,XQuery,LLVM,'Inno Setup','Graphviz (DOT)',Julia,Oz,Scheme,Parrot,Liquid,C,'Ragel in Ruby Host','Web Ontology Language',Fortran,Objective-C,XC,Objective-C++,Mercury,Modula-2,NetLogo,CLIPS,COBOL,Smali,Rouge,Myghty,Racket,Genshi,M,AppleScript,VCL,'Jupyter Notebook',QML,'Csound Document',Lasso,'Cap\'n Proto',VHDL,RobotFramework,'POV-Ray SDL',SaltStack,MoonScript,nesC,D,Crystal,Limbo,Pike,Java,SourcePawn,Logos,Forth,Arduino,Terra,Eagle,Dart,Redcode,Kotlin,Batchfile,Thrift,F#,Hy,Opa,Eiffel,VimL,'Emacs Lisp',Scilab,GAP,Haskell,LilyPond,Gosu,Fancy,'1C Enterprise',Xtend,PigLatin,GDB,PHP,C++,'API Blueprint',Shell,Mathematica,Cycript,DTrace,PicoLisp,Cucumber,ApacheConf,Jasmin,Groovy,Csound,RAML,Omgrofl,Frege,Mask,Nu,AutoHotkey,MAXScript,FLUX,Cuda,Lex,Smarty,Objective-J,Coq,ASP,Pony,Tea,EmberScript,ActionScript,Go,Bison,UnrealScript,XSLT,Self,Swift,'IGOR Pro','Inform 7',Clean,Harbour,KiCad,'Module Management System',Vue,Vala,'Game Maker Language','Gettext Catalog',Nim,Hack,Alloy,Volt,TeX,Nix,Tcl,Ioke,Matlab,LOLCODE,HCL,Arc,Augeas,Nemerle,'Protocol Buffer',Elixir,Metal,CoffeeScript,XProc,Erlang,Prolog,HLSL,FreeMarker,'SRecode Template',Yacc,Groff,SuperCollider,SQLPL,'Common Lisp',PowerShell,Puppet,Handlebars,GDScript,OCaml,Roff,Awk,Agda,Perl6,cluster
Smalltalk,0,0,0,3,1,0,0,1,0,0,94,0,4,12,0,24,0,0,1,4,2,2,0,0,1,0,5,6,0,5,0,0,0,2,2,0,1,2,0,5,12,0,0,0,0,3,23,0,0,17,1,1,0,1,0,1,19,24,0,3,1,26,2,0,0,0,13,0,2,2,8,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,22,2,0,3,13,0,2,0,1,0,2,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,17,1,4,1,0,0,0,0,0,0,13,0,1,2,0,1,0,7,1,3,1,0,0,2,2,0,0,0,7,23,0,30,5,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,6,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,1,0,2,0,3,3,1,0,0,2,9,0,0,1,10,1,0,0,4,0,6,0,4,cluster1
APL,0,1,0,1,1,1,0,1,0,1,0,10,0,5,0,1,1,4,0,0,4,0,1,1,0,1,5,0,1,1,1,1,1,0,0,0,0,0,1,4,5,0,1,0,0,1,5,0,1,5,0,0,1,1,0,1,4,1,0,0,1,5,1,1,0,0,5,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,1,0,0,1,1,5,0,0,5,0,0,1,5,0,0,1,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,5,0,1,1,5,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,4,5,0,0,0,0,0,1,0,5,5,0,5,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,5,0,0,1,0,4,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,5,1,0,0,0,1,0,1,0,1,1,5,5,0,0,0,1,0,1,0,1,1,0,0,0,1,0,5,1,5,cluster8
GLSL,0,8,0,5,0,0,1,8,0,1,4,0,242,19,1,38,0,9,1,6,10,11,0,0,7,0,11,37,0,14,0,8,0,3,2,1,0,2,0,11,19,0,0,0,0,2,62,0,0,59,0,0,0,1,11,2,64,55,2,0,11,37,9,8,1,0,19,1,10,1,2,1,0,0,0,5,0,1,8,9,1,0,1,0,0,0,10,0,8,1,0,8,0,1,1,2,2,0,7,28,0,0,0,0,9,0,1,0,9,0,2,0,8,0,12,0,8,64,0,0,4,55,0,27,0,0,0,1,9,0,0,0,0,0,4,1,0,0,3,3,0,0,8,0,2,0,0,0,10,0,2,0,56,6,3,9,0,1,3,8,0,1,40,0,1,2,0,8,0,5,2,4,10,0,0,2,2,0,0,1,12,71,0,66,4,2,1,0,8,1,0,9,0,0,0,0,9,0,8,2,1,2,5,4,0,0,2,0,0,2,13,12,0,2,4,0,7,1,0,0,0,4,4,0,8,2,0,0,1,0,0,12,8,12,0,11,0,0,0,0,0,13,9,1,9,0,10,3,1,5,0,5,11,1,0,9,14,0,2,0,10,2,5,0,7,cluster2
Perl,0,9,0,25,7,1,7,28,0,21,12,5,19,2828,10,380,1,17,4,29,94,22,3,1,15,1,68,81,1,47,2,11,1,26,1,2,2,2,2,36,177,1,1,0,3,4,439,0,1,478,9,2,1,13,15,14,381,319,4,8,33,78,14,10,18,0,253,9,12,11,14,1,1,2,1,57,0,8,8,18,2,1,1,7,2,1,17,2,9,2,2,9,0,2,0,2,6,1,7,69,2,2,0,4,8,2,1,5,13,7,12,1,17,1,43,9,11,438,8,1,28,230,1,31,4,3,0,6,12,1,0,1,19,1,20,13,0,6,3,1,5,0,12,0,5,2,5,1,34,4,4,2,238,31,24,15,12,5,2,14,0,2,163,4,4,2,1,10,63,77,27,25,40,0,0,0,1,0,5,18,234,365,0,730,11,0,27,1,17,40,1,30,1,0,1,2,8,2,10,0,1,5,45,17,1,2,43,1,1,2,37,73,15,26,89,1,20,1,1,2,0,1,18,0,11,2,0,6,3,0,2,86,13,39,1,39,1,0,3,1,3,50,18,0,44,2,45,49,2,13,0,59,131,5,12,24,35,9,4,1,24,17,92,1,137,cluster13
Processing,0,1,0,0,0,0,0,1,0,0,0,0,1,10,110,17,0,1,0,0,4,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,6,0,0,0,4,0,13,0,0,16,0,0,0,0,1,1,13,20,0,0,1,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,20,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,14,1,4,1,20,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,19,0,12,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,6,0,0,0,0,0,1,1,0,2,0,2,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,cluster4
CSS,1,10,5,43,5,2,14,20,1,43,24,1,38,380,17,15898,1,12,3,27,243,41,2,1,41,1,112,82,1,59,2,26,2,9,3,23,1,4,3,43,131,0,1,1,3,10,6582,0,2,1314,53,1,1,13,182,13,803,5557,18,14,55,220,15,10,44,1,1445,11,13,6,13,1,8,2,7,46,1,4,10,14,2,2,1,2,1,1,21,13,10,2,2,9,0,1,1,4,4,6,7,84,2,2,1,30,10,6,1,8,14,9,19,3,23,1,41,0,15,505,16,1,18,280,0,84,5,1,0,5,10,2,1,1,10,1,17,20,1,68,10,3,5,3,10,3,5,2,3,1,28,4,2,1,742,22,31,14,26,3,3,25,1,7,459,18,5,3,2,8,56,75,7,27,47,1,1,2,2,1,8,6,1348,436,1,1861,10,2,13,0,66,474,1,76,1,1,1,1,8,4,10,4,1,6,27,114,0,2,137,1,1,4,68,160,5,2,182,0,36,1,1,4,2,5,16,33,14,3,0,4,9,4,4,175,15,38,1,46,1,6,1,1,4,90,27,0,748,1,50,45,2,34,0,39,163,3,25,33,104,24,45,0,25,18,58,1,47,cluster12
Apex,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,56,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,1,0,0,1,1,0,1,0,2,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
Haxe,0,9,0,2,2,1,0,10,0,1,0,4,9,17,1,12,1,42,0,0,14,4,1,1,0,1,16,0,1,10,1,11,1,0,0,0,0,0,1,14,14,1,1,0,0,1,17,0,1,19,0,0,1,1,10,1,15,13,0,1,11,15,9,10,0,0,16,1,10,0,1,0,0,1,0,2,0,1,8,10,0,1,0,1,1,0,11,0,9,1,0,9,0,0,0,0,0,0,7,16,1,0,0,0,8,0,0,0,10,1,0,0,12,1,14,0,8,9,1,0,5,15,0,1,1,1,0,0,9,1,0,0,1,0,2,1,0,0,0,0,0,0,10,0,0,0,1,0,14,0,1,1,17,0,1,10,1,1,0,12,0,2,9,0,1,2,1,8,2,3,0,3,16,0,0,0,0,0,1,0,15,18,0,20,2,0,2,0,8,0,1,11,1,0,1,0,8,1,10,0,0,0,0,0,1,0,1,1,1,0,13,17,0,0,1,0,11,0,0,1,0,0,1,0,10,1,0,2,1,0,0,11,9,11,1,13,1,0,0,0,1,8,10,0,12,1,15,4,0,5,0,2,1,1,0,11,10,0,2,0,11,0,4,1,6,cluster3
Max,0,0,0,3,1,0,1,0,0,1,1,0,1,4,0,3,0,0,12,4,4,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,0,0,0,2,0,0,3,0,1,0,1,0,4,5,4,1,2,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,5,1,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,1,3,2,0,1,0,0,0,0,5,0,0,0,0,1,0,3,2,4,1,0,0,0,1,0,0,1,1,5,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,5,3,1,0,1,0,0,0,0,1,1,4,0,4,cluster6
'DIGITAL Command Language',0,0,0,8,2,0,3,0,0,6,4,0,6,29,0,27,0,0,4,96,8,4,0,0,6,0,4,20,0,14,0,0,0,6,1,2,0,0,0,7,31,0,0,0,2,1,32,0,0,43,2,1,0,3,0,6,37,38,2,2,3,10,4,0,1,0,15,2,0,6,6,0,0,0,0,14,0,1,0,0,1,0,1,1,0,0,2,0,0,0,1,0,0,1,0,0,3,1,0,10,0,1,0,0,0,0,1,0,0,2,4,0,0,0,9,0,0,38,1,0,3,28,0,8,0,1,0,4,1,0,0,0,2,0,5,1,0,3,2,0,0,0,0,0,1,0,2,0,4,3,2,0,19,9,5,3,0,3,2,2,0,0,32,0,0,0,0,1,6,14,3,7,4,0,0,0,1,0,0,2,14,35,0,41,4,0,9,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,9,7,0,0,2,0,0,1,4,6,0,0,7,0,1,1,1,0,0,2,11,0,0,0,0,2,0,0,2,10,0,7,0,4,0,0,0,0,0,8,5,0,0,0,3,7,0,1,0,12,23,2,0,7,11,0,0,1,2,9,17,0,13,cluster10
