lang_column,TLA,LSL,SQL,PostScript,Brainfuck,PureScript,'Vim script',ColdFusion,'Propeller Spin',PLSQL,Smalltalk,APL,GLSL,Perl,Processing,CSS,Apex,Haxe,Max,'DIGITAL Command Language',R,NSIS,BlitzBasic,Fantom,QMake,Factor,Scala,CMake,Golo,'Visual Basic',J,LiveScript,Dogescript,XS,UrWeb,'GCC Machine Description',AMPL,Slash,PureBasic,Pascal,Assembly,HyPhy,Cool,LabVIEW,'Pure Data',NewLisp,JavaScript,Befunge,Squirrel,Python,Nginx,CartoCSS,Boo,Rebol,TypeScript,'OpenEdge ABL',Makefile,HTML,IDL,Gnuplot,Clojure,C#,Ada,ABAP,PLpgSQL,Stan,Ruby,'Standard ML',Io,eC,SAS,RenderScript,AspectJ,Idris,Stata,M4,Zephir,'AGS Script',Elm,Verilog,Ragel,AutoIt,ChucK,xBase,ooc,REXX,Rust,XML,JSONiq,Diff,E,Cirru,DM,BitBake,Bro,SystemVerilog,PAWN,Gherkin,Lean,Lua,Turing,'Component Pascal',Brightscript,Mako,OpenSCAD,Clarion,KRL,ANTLR,XQuery,LLVM,'Inno Setup','Graphviz (DOT)',Julia,Oz,Scheme,Parrot,Liquid,C,'Ragel in Ruby Host','Web Ontology Language',Fortran,Objective-C,XC,Objective-C++,Mercury,Modula-2,NetLogo,CLIPS,COBOL,Smali,Rouge,Myghty,Racket,Genshi,M,AppleScript,VCL,'Jupyter Notebook',QML,'Csound Document',Lasso,'Cap\'n Proto',VHDL,RobotFramework,'POV-Ray SDL',SaltStack,MoonScript,nesC,D,Crystal,Limbo,Pike,Java,SourcePawn,Logos,Forth,Arduino,Terra,Eagle,Dart,Redcode,Kotlin,Batchfile,Thrift,F#,Hy,Opa,Eiffel,VimL,'Emacs Lisp',Scilab,GAP,Haskell,LilyPond,Gosu,Fancy,'1C Enterprise',Xtend,PigLatin,GDB,PHP,C++,'API Blueprint',Shell,Mathematica,Cycript,DTrace,PicoLisp,Cucumber,ApacheConf,Jasmin,Groovy,Csound,RAML,Omgrofl,Frege,Mask,Nu,AutoHotkey,MAXScript,FLUX,Cuda,Lex,Smarty,Objective-J,Coq,ASP,Pony,Tea,EmberScript,ActionScript,Go,Bison,UnrealScript,XSLT,Self,Swift,'IGOR Pro','Inform 7',Clean,Harbour,KiCad,'Module Management System',Vue,Vala,'Game Maker Language','Gettext Catalog',Nim,Hack,Alloy,Volt,TeX,Nix,Tcl,Ioke,Matlab,LOLCODE,HCL,Arc,Augeas,Nemerle,'Protocol Buffer',Elixir,Metal,CoffeeScript,XProc,Erlang,Prolog,HLSL,FreeMarker,'SRecode Template',Yacc,Groff,SuperCollider,SQLPL,'Common Lisp',PowerShell,Puppet,Handlebars,GDScript,OCaml,Roff,Awk,Agda,Perl6,cluster
R,1,9,0,11,3,1,1,10,0,4,2,4,10,94,4,243,1,14,4,8,2558,5,2,1,4,1,46,18,1,16,1,11,1,4,0,3,0,0,1,20,35,1,1,0,1,2,237,0,1,202,1,1,1,31,11,7,148,251,0,4,17,29,11,10,2,6,94,2,11,2,11,0,0,1,9,7,0,4,8,11,0,1,1,3,1,0,14,0,9,1,1,9,0,1,0,0,2,0,7,26,1,1,0,2,8,0,1,2,10,2,5,1,18,1,22,3,8,120,2,0,19,46,0,4,3,2,0,2,10,1,0,0,3,0,8,2,0,25,1,0,0,1,11,0,4,0,3,0,25,1,2,1,67,5,4,13,1,2,0,11,0,2,52,6,1,2,1,9,13,28,5,9,20,0,0,0,1,0,3,2,37,140,0,236,6,0,10,1,8,8,1,15,1,0,1,0,8,1,10,0,0,1,6,3,1,0,12,1,1,1,15,23,4,3,16,0,11,1,0,1,0,0,7,0,10,1,0,3,1,0,0,159,12,16,1,32,1,0,0,0,3,16,12,0,32,1,20,21,0,6,0,8,28,3,3,17,21,3,2,1,15,2,24,1,16,cluster3
NSIS,0,4,0,1,0,0,0,4,0,0,2,0,11,22,0,41,0,4,0,4,5,136,0,0,24,0,4,13,0,11,0,4,0,1,0,0,0,0,0,6,24,0,0,0,0,0,29,0,0,47,0,0,0,0,8,5,45,46,2,0,6,14,5,4,0,0,21,1,4,0,1,0,0,0,0,5,0,0,4,4,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,3,8,0,0,0,1,4,0,0,0,5,2,1,0,5,0,6,0,4,45,0,0,6,34,0,23,0,0,0,2,4,0,0,0,0,0,2,3,0,0,4,0,0,0,4,0,1,0,0,0,5,0,0,0,21,5,1,4,0,0,2,4,0,1,33,0,0,0,0,4,2,5,2,2,5,0,0,0,0,0,0,0,9,46,0,58,1,0,1,0,4,1,0,9,0,0,0,0,5,0,4,0,1,3,4,5,0,0,1,0,0,0,5,13,0,1,10,0,5,0,0,0,0,2,1,0,4,2,0,0,1,0,0,9,4,9,0,6,0,0,0,0,0,10,6,0,4,0,7,4,0,4,0,5,28,0,0,5,7,0,0,0,4,1,3,0,5,cluster10
BlitzBasic,0,1,0,1,1,1,0,1,0,1,0,1,0,3,0,2,1,1,0,0,2,0,6,1,0,1,1,0,1,2,1,1,1,0,0,0,0,0,1,2,2,0,1,0,0,1,1,0,1,2,0,0,1,2,0,1,0,1,0,0,1,2,2,1,0,0,1,1,1,0,2,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,2,0,0,2,2,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,2,0,1,1,0,0,0,0,0,1,0,2,2,0,2,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,2,0,2,1,1,1,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,1,2,cluster11
Fantom,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,4,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
QMake,0,0,0,3,0,0,1,0,0,0,1,0,7,15,0,41,0,0,0,6,4,24,0,0,198,0,2,21,0,4,0,0,0,4,1,0,0,0,0,3,20,0,0,0,0,2,23,0,0,52,2,0,0,0,5,4,58,48,2,0,6,8,1,0,0,0,13,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,1,1,0,0,0,1,0,5,0,1,0,2,0,0,69,0,0,2,36,0,37,0,0,0,1,0,0,0,0,2,0,4,2,0,0,13,0,0,0,0,0,2,0,2,0,2,2,0,1,24,6,0,0,1,0,3,3,0,0,24,0,0,0,0,0,2,3,3,1,2,0,0,0,0,0,0,1,9,98,0,60,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,4,5,0,0,6,0,0,0,1,6,1,3,7,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,2,5,0,4,0,7,0,0,0,0,0,11,3,0,1,0,2,12,0,1,0,5,34,0,0,4,3,0,0,0,1,2,7,0,5,cluster10
Factor,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,2,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
Scala,1,9,0,5,5,1,0,10,0,7,5,5,11,68,1,112,1,16,1,4,46,4,1,1,2,1,728,8,1,14,1,11,1,0,3,0,0,3,1,15,24,1,1,0,1,6,126,0,1,148,4,1,1,3,13,2,71,103,0,1,28,35,9,10,2,0,75,2,14,0,1,0,0,1,0,4,0,1,8,11,0,1,0,2,2,0,17,3,9,1,1,9,0,0,0,2,0,0,7,22,1,1,0,1,8,0,0,1,10,1,0,1,14,1,21,0,8,62,3,1,7,32,0,1,1,2,0,0,10,1,1,1,9,1,5,2,0,17,0,0,0,0,10,0,0,0,3,0,22,4,1,1,197,1,1,12,1,1,0,17,0,4,44,16,1,3,1,9,11,11,5,10,29,0,1,2,1,0,3,1,38,69,0,178,7,2,2,1,9,9,1,28,1,0,1,0,8,1,10,0,0,2,7,4,1,0,7,1,1,0,15,35,4,4,20,0,19,0,0,1,0,0,2,0,10,0,0,6,1,0,2,28,9,13,1,23,1,0,0,0,1,30,15,0,29,1,26,13,0,10,0,8,19,3,2,16,14,1,3,1,17,1,15,1,14,cluster3
CMake,1,0,0,6,4,0,3,0,0,3,6,0,37,81,2,82,0,0,1,20,18,13,0,0,21,0,8,764,0,16,0,0,0,5,1,4,0,0,1,14,48,0,0,0,1,2,96,0,0,217,2,0,0,4,10,3,223,128,3,6,6,48,4,0,4,0,44,4,1,3,8,0,2,0,0,36,0,4,0,0,1,0,1,4,0,0,3,0,1,0,0,0,0,2,1,0,4,0,0,63,0,0,0,0,0,0,1,0,0,10,9,0,2,0,12,0,0,301,2,0,6,126,0,67,2,0,0,4,1,0,0,0,4,0,22,3,0,12,4,3,0,1,0,0,2,0,2,1,4,3,3,1,107,17,8,4,3,2,2,3,0,0,110,8,1,0,0,0,15,21,5,7,11,0,0,0,1,0,0,3,38,344,0,249,11,0,10,0,1,6,0,3,0,0,0,0,0,0,0,0,1,29,15,9,0,0,3,0,0,2,3,21,3,1,23,0,7,1,0,0,0,4,12,0,5,0,0,2,2,0,2,26,4,13,0,32,0,0,1,0,0,48,3,0,4,0,8,10,3,4,0,22,57,1,2,6,16,0,0,0,6,10,26,0,14,cluster10
Golo,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,2,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
'Visual Basic',0,9,0,8,4,1,0,17,0,11,5,1,14,47,1,59,1,10,0,14,16,11,2,1,4,1,14,16,1,278,1,10,1,4,0,0,0,0,1,28,41,0,1,1,0,1,73,0,1,70,0,0,1,2,11,2,51,61,1,0,14,44,13,10,3,0,35,2,9,3,5,0,0,1,0,12,0,2,8,10,0,3,0,2,1,0,13,0,10,1,0,9,0,0,0,0,3,0,7,23,1,0,0,3,9,0,0,0,11,1,7,0,12,1,13,0,8,58,1,0,10,42,0,5,1,1,0,3,11,1,0,0,3,0,4,4,0,0,2,0,0,0,10,0,3,0,1,0,11,1,1,1,37,11,0,13,3,0,2,11,0,2,67,0,2,1,1,8,11,10,2,6,14,0,1,0,1,0,1,0,42,55,0,85,3,0,8,0,10,4,2,14,1,0,1,0,8,1,11,0,2,3,4,4,0,2,12,1,1,0,19,19,1,1,12,1,9,0,0,1,0,3,4,0,10,0,0,2,2,1,0,17,9,13,1,17,1,0,0,0,2,12,10,0,15,1,15,8,0,5,0,6,18,1,4,16,26,0,2,0,12,5,14,1,12,cluster3
J,0,1,0,1,1,1,0,2,0,1,0,1,0,2,0,2,1,1,0,0,1,0,1,1,0,1,1,0,1,1,4,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,2,0,0,1,1,0,1,0,2,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
LiveScript,0,9,0,1,2,1,0,10,0,1,0,1,8,11,1,26,1,11,0,0,11,4,1,1,0,1,11,0,1,10,1,66,2,0,0,0,0,0,1,10,10,1,1,0,0,1,32,0,1,18,0,0,1,1,12,1,17,20,0,0,19,11,9,10,0,0,18,1,10,0,1,0,0,1,0,1,0,1,8,10,0,1,0,1,1,0,10,1,9,1,0,9,0,0,0,0,0,0,7,13,1,0,0,0,8,0,0,0,10,1,0,0,18,1,11,0,8,4,1,0,5,11,0,0,1,1,0,0,9,1,0,0,1,0,2,1,0,2,0,0,0,0,10,0,0,0,1,0,11,0,1,1,18,0,0,10,1,0,0,11,0,2,8,0,0,1,1,8,2,2,0,0,14,0,0,0,0,0,1,0,15,12,0,25,2,0,1,0,10,1,1,11,1,0,1,0,8,1,10,0,0,0,0,1,1,0,1,1,1,1,11,11,0,0,1,0,7,0,0,1,0,0,1,0,10,0,0,2,1,4,0,14,9,11,1,10,1,0,0,0,1,8,9,0,24,1,17,1,0,5,0,1,0,1,0,13,10,0,2,0,11,0,1,1,2,cluster3
Dogescript,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,2,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,2,4,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,1,1,0,0,1,1,1,1,0,2,0,0,2,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,2,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
XS,0,0,0,3,0,0,1,0,0,2,2,0,3,26,1,9,0,0,1,6,4,1,0,0,4,0,0,5,0,4,0,0,0,54,0,1,0,0,0,4,13,0,0,0,0,0,9,0,0,16,2,0,0,1,1,3,18,12,0,0,3,5,2,0,1,0,7,0,0,6,3,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,0,0,23,0,0,1,16,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,7,4,3,1,1,1,0,0,0,0,10,0,0,0,0,0,3,5,5,3,1,0,0,0,1,0,0,2,7,21,0,20,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0,2,4,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,7,11,1,0,2,2,0,0,0,1,2,9,0,15,cluster6
UrWeb,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,2,3,0,0,3,1,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,2,1,0,0,2,1,0,0,0,1,1,0,3,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,cluster1
'GCC Machine Description',0,0,0,1,0,0,2,0,0,2,0,0,1,2,0,23,0,0,1,2,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,92,0,0,0,2,1,0,0,0,0,0,24,0,0,12,0,0,0,1,3,1,8,29,0,0,0,3,0,0,1,0,13,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,8,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,1,1,1,0,1,0,0,0,0,6,0,0,0,0,0,1,3,1,1,1,0,0,0,1,0,0,1,8,7,0,21,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,4,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,0,2,0,1,1,0,5,1,0,0,0,1,2,0,1,cluster6
AMPL,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
Slash,0,0,0,2,0,0,0,0,0,0,2,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,12,0,1,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,2,0,0,0,2,1,0,0,0,0,1,0,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,cluster1
PureBasic,0,1,0,1,1,1,0,1,0,1,0,1,0,2,0,3,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,10,2,3,0,1,0,0,1,2,0,1,4,0,0,1,1,0,1,1,3,0,0,1,2,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,3,0,0,1,3,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,3,0,3,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,2,1,0,0,0,1,2,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
Pascal,0,9,0,5,2,1,1,12,0,7,5,4,11,36,1,43,1,14,1,7,20,6,2,1,3,1,15,14,1,28,1,10,1,4,0,2,0,1,2,168,44,0,1,0,1,2,45,0,1,48,0,0,1,3,11,3,39,50,0,1,11,35,16,10,3,0,34,2,11,3,7,1,0,1,0,10,0,3,8,10,0,2,1,2,1,0,11,0,9,1,0,9,0,1,0,1,5,0,7,23,1,0,0,0,8,1,1,1,10,2,6,0,10,1,20,0,8,45,1,0,12,36,0,5,1,1,0,6,12,1,0,0,2,0,6,1,0,0,1,0,0,0,10,0,3,0,1,0,16,0,2,1,40,10,6,11,1,2,0,10,0,2,39,0,1,1,1,8,8,12,3,9,19,0,0,0,1,0,1,1,35,53,0,58,4,0,6,0,8,6,2,11,1,0,1,1,8,1,11,0,2,2,6,3,0,0,6,1,1,1,15,19,0,1,12,0,10,1,0,1,0,0,8,0,10,1,0,1,1,0,0,21,9,14,1,15,1,0,0,0,2,12,9,0,11,1,16,15,0,5,0,10,17,2,4,12,16,18,2,0,11,1,16,1,11,cluster3
Assembly,0,9,0,15,5,1,4,12,0,12,12,5,19,177,6,131,1,14,4,31,35,24,2,1,20,1,24,48,1,41,1,10,1,13,0,1,1,0,3,44,844,0,1,0,3,3,124,0,1,233,1,1,1,12,12,13,294,166,11,5,22,47,16,10,3,0,76,5,11,10,16,1,0,1,2,47,0,8,8,14,0,1,1,6,1,0,13,0,10,2,2,9,0,1,0,0,5,0,7,37,1,1,0,0,9,2,1,0,11,5,5,0,13,1,29,0,10,350,7,0,17,205,0,40,1,3,0,6,12,1,0,0,4,0,11,3,0,1,3,0,0,0,11,0,5,0,1,1,22,2,4,1,113,34,27,12,10,5,6,11,0,2,117,0,1,1,1,10,18,39,27,17,20,0,0,0,1,0,1,13,73,315,0,305,6,0,21,1,13,17,2,18,1,0,1,0,8,2,11,0,2,3,34,4,0,0,24,1,1,1,24,45,15,26,35,0,17,1,0,2,0,8,16,0,10,2,0,1,2,0,0,45,10,29,1,30,1,0,0,0,3,31,13,0,16,1,20,35,2,5,0,45,95,5,4,21,30,0,2,1,15,11,76,1,34,cluster13
HyPhy,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,cluster4
Cool,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,2,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,cluster8
