lang_column,'Component Pascal','Emacs Lisp',Factor,AspectJ,Rust,RAML,PicoLisp,Cucumber,Tea,Boo,Objective-C++,Mathematica,Forth,CLIPS,Yacc,HCL,Scheme,Pony,Objective-J,Arduino,Ada,Awk,LLVM,BlitzBasic,ActionScript,Diff,Groff,XQuery,Alloy,'OpenEdge ABL',LilyPond,EmberScript,FLUX,Stan,Lua,TLA,Nemerle,RobotFramework,VHDL,Apex,Erlang,Haskell,Coq,Mako,AutoIt,Max,M,KiCad,Zephir,'Vim script','Propeller Spin',Lex,Ioke,Tcl,SQLPL,Golo,Nim,ASP,Harbour,Python,nesC,Handlebars,IDL,Arc,'Ragel in Ruby Host',Kotlin,'AGS Script',PigLatin,Gosu,Perl,Dart,OpenSCAD,HLSL,CMake,MoonScript,PAWN,Makefile,LOLCODE,Cool,Rouge,Fortran,Puppet,Vue,eC,Csound,QML,Ragel,TypeScript,Mask,Jasmin,F#,SystemVerilog,Frege,SuperCollider,Turing,Vala,Hy,SourcePawn,Cycript,Clarion,Nginx,Liquid,XS,'Common Lisp',Pascal,Gherkin,Parrot,Bro,Perl6,Cuda,ColdFusion,Hack,HyPhy,Objective-C,AMPL,Roff,NewLisp,Clean,C#,FreeMarker,Prolog,SQL,'DIGITAL Command Language',Oz,R,PowerShell,PHP,Omgrofl,M4,Terra,PureScript,Batchfile,Genshi,Self,MAXScript,CSS,BitBake,Clojure,Metal,'Protocol Buffer',JSONiq,NetLogo,Lean,XProc,Groovy,'Jupyter Notebook',Cirru,NSIS,PLSQL,UnrealScript,QMake,LSL,OCaml,Scilab,D,Mercury,Myghty,Nu,GAP,TeX,Haxe,LiveScript,GDScript,'Visual Basic','GCC Machine Description',Brainfuck,'Gettext Catalog','Csound Document',Verilog,Io,SAS,'Module Management System',ooc,VimL,'Web Ontology Language',Shell,ABAP,'POV-Ray SDL',PureBasic,Crystal,XSLT,UrWeb,Pike,Logos,Limbo,Assembly,'Inno Setup',LabVIEW,COBOL,Matlab,Thrift,Elixir,Processing,'Pure Data',REXX,Idris,GLSL,JavaScript,RenderScript,Fancy,Befunge,J,AppleScript,Lasso,XC,E,Racket,Java,Go,Eiffel,'API Blueprint',Brightscript,C,Gnuplot,DTrace,Eagle,Bison,ApacheConf,PLpgSQL,ANTLR,C++,Swift,Fantom,AutoHotkey,APL,Smali,Julia,Modula-2,SaltStack,'Graphviz (DOT)',xBase,XML,GDB,Squirrel,Smarty,Rebol,'Standard ML',Elm,Slash,'Game Maker Language',Dogescript,Smalltalk,Nix,Xtend,Agda,HTML,Volt,Ruby,PostScript,Opa,CoffeeScript,CartoCSS,Scala,Stata,cluster
Ada,0,6,1,0,7,0,0,6,1,1,3,1,8,6,3,0,11,1,0,1,28,5,2,2,8,0,4,7,0,1,0,0,0,0,9,0,2,0,7,1,7,8,0,0,1,0,1,0,0,0,0,1,1,9,0,1,1,1,0,14,0,1,0,0,0,2,1,1,0,12,7,6,0,4,1,1,11,1,1,0,6,0,0,2,1,0,0,6,6,1,0,0,0,1,1,7,1,2,0,0,0,6,2,8,14,0,0,0,3,0,7,1,0,13,0,0,1,1,14,4,3,0,4,1,9,9,10,1,4,0,1,12,0,0,0,13,0,7,0,8,6,0,5,1,7,0,6,4,1,0,1,7,8,1,8,1,0,1,2,11,7,7,0,11,0,2,0,0,7,7,6,5,1,3,0,14,7,0,1,0,4,0,1,1,1,14,1,0,7,8,0,7,1,1,0,1,7,12,0,0,0,1,1,0,0,0,1,11,9,6,0,0,8,0,1,0,0,1,0,0,14,6,1,7,1,1,7,1,0,0,1,0,0,1,1,2,2,6,0,0,1,2,6,0,1,12,0,8,2,1,7,0,7,0,cluster9
Awk,0,14,1,0,3,0,1,1,1,1,11,3,2,4,33,1,15,1,0,1,5,216,1,2,2,0,36,2,0,5,0,0,0,0,10,0,2,0,1,1,10,7,0,0,1,2,2,0,0,0,0,30,1,9,2,1,1,15,0,84,0,0,5,0,1,1,1,2,0,69,2,0,0,19,1,3,84,1,1,0,7,3,0,5,1,0,1,2,0,1,0,0,0,2,2,1,1,20,0,0,0,1,7,5,12,0,0,0,18,1,1,1,0,61,0,3,2,1,16,0,20,0,14,1,20,3,23,1,21,1,1,33,0,0,0,38,0,8,0,9,0,0,0,1,2,0,0,3,3,25,6,1,2,20,6,1,0,1,13,19,4,1,1,11,1,2,0,0,1,1,9,10,1,13,0,105,1,3,1,0,23,0,1,7,2,59,3,0,1,9,1,2,0,2,1,1,3,44,1,0,0,1,3,0,0,1,1,33,12,0,0,0,86,1,6,0,10,6,1,1,76,4,1,1,4,1,2,1,0,0,1,0,9,1,2,3,2,0,0,0,1,5,3,0,1,38,0,30,5,1,3,0,10,0,cluster11
LLVM,0,5,1,0,1,0,0,0,1,1,5,1,1,1,7,0,4,1,0,1,2,1,20,1,1,0,4,1,0,1,0,0,0,0,2,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,2,1,3,0,1,1,1,0,10,0,0,1,0,0,1,1,1,0,6,1,0,0,8,1,0,7,1,1,0,1,0,0,0,1,1,0,2,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,2,0,0,0,2,0,1,1,0,7,0,0,1,1,4,0,1,0,2,1,2,1,2,1,2,0,1,7,0,0,0,7,0,1,0,3,0,0,0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,1,0,2,1,1,0,1,2,1,0,1,1,1,2,3,1,4,0,10,1,0,1,0,3,0,1,1,2,4,1,0,1,1,0,1,0,0,0,1,0,6,0,0,0,1,1,0,0,0,1,5,4,0,0,0,10,2,2,0,0,0,1,0,10,3,1,1,1,1,1,1,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1,8,0,3,2,1,1,0,1,0,cluster9
BlitzBasic,0,2,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,2,2,1,4,1,0,0,1,0,1,0,0,0,0,1,0,2,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,0,1,1,1,0,2,0,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,2,0,0,1,1,2,0,1,0,0,1,2,1,2,1,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,2,1,0,1,1,2,1,1,0,2,0,1,0,0,1,1,2,1,1,1,0,2,1,0,1,0,2,0,1,0,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,cluster9
ActionScript,0,4,1,0,7,0,0,9,1,1,2,3,8,1,1,0,9,1,1,1,8,2,1,1,134,0,7,8,0,1,0,0,0,0,16,0,2,0,7,1,8,8,0,0,1,0,4,0,0,0,0,0,1,10,2,1,2,10,0,32,0,1,0,0,1,2,1,1,1,23,8,6,0,1,1,1,20,1,1,0,6,0,0,1,1,0,0,7,6,1,0,1,0,1,1,7,2,1,1,0,0,6,1,8,10,0,0,0,6,0,12,1,1,16,0,0,2,1,15,4,4,0,3,1,12,13,36,1,2,0,1,25,0,0,0,43,0,8,0,8,6,0,5,1,9,0,6,3,3,0,1,7,9,0,8,1,0,1,1,10,9,8,0,13,0,2,0,0,7,9,3,2,1,2,0,45,7,0,1,0,14,1,1,1,1,18,1,0,9,9,0,7,1,0,0,1,9,53,0,1,0,1,1,1,0,0,1,27,11,6,0,0,22,0,1,0,1,12,0,0,21,6,1,7,1,1,8,1,0,0,2,0,0,1,3,3,1,6,1,1,1,2,6,0,1,49,0,24,7,1,10,0,10,1,cluster9
Diff,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
Groff,0,28,0,0,2,0,1,6,0,0,42,4,2,5,31,0,14,0,0,1,4,36,4,0,7,1,552,2,1,10,1,0,0,0,22,0,2,1,0,0,3,7,2,3,0,2,9,4,0,0,0,28,0,14,1,0,0,18,0,174,0,0,3,0,7,0,1,2,0,101,0,0,1,46,0,3,203,0,0,0,7,1,0,7,0,3,0,4,0,0,2,0,0,1,1,0,0,17,0,2,0,1,10,4,13,0,0,1,22,1,2,0,0,109,0,0,1,2,25,3,17,0,19,0,24,7,40,0,31,2,0,83,1,1,0,135,0,5,0,18,0,0,0,0,4,2,0,25,7,10,29,0,3,13,4,0,1,1,9,28,1,0,1,15,0,1,0,1,3,1,14,15,0,11,1,225,0,5,0,0,37,0,0,15,1,76,13,0,1,10,5,3,0,2,0,0,10,105,1,0,0,0,2,1,1,1,1,79,19,0,0,0,197,5,14,2,8,12,4,2,169,5,0,0,0,0,3,0,0,0,1,0,2,0,11,7,3,0,0,2,0,8,4,0,0,162,0,61,14,0,10,1,10,1,cluster8
XQuery,0,1,1,0,7,0,0,6,1,1,1,1,7,0,2,0,7,1,0,1,7,2,1,1,8,0,2,20,0,1,0,0,0,0,7,0,1,0,7,1,7,7,0,0,1,0,1,0,0,0,0,1,1,7,0,1,1,2,0,9,0,1,0,0,0,2,1,1,0,9,7,6,0,0,1,0,7,1,1,0,4,0,0,0,1,0,0,7,6,1,0,0,0,1,1,7,1,1,0,0,0,6,1,7,7,0,0,0,2,0,7,1,0,8,0,0,1,1,8,4,2,0,0,1,7,7,8,1,2,0,1,9,0,0,0,10,0,8,0,6,6,0,5,1,7,0,6,4,1,1,1,7,7,1,7,1,0,1,1,7,7,7,0,8,0,1,0,0,7,7,1,1,1,1,0,9,7,1,1,0,3,0,1,0,1,8,0,0,7,7,0,7,1,0,0,1,7,10,0,0,0,1,1,0,0,0,1,8,7,6,0,0,2,0,1,0,0,0,0,0,8,5,1,7,1,1,7,1,0,0,1,0,0,1,0,1,1,6,0,0,1,0,6,0,1,9,0,8,1,1,7,0,7,0,cluster9
Alloy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,cluster4
'OpenEdge ABL',0,5,1,0,1,0,0,0,1,1,3,1,1,2,7,0,1,1,0,1,1,5,1,1,1,0,10,1,0,52,0,1,0,0,3,0,1,0,1,1,1,1,0,0,1,2,1,0,0,0,0,5,1,3,0,1,1,2,0,18,0,0,0,0,0,1,1,1,0,10,1,0,0,1,1,0,16,1,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,1,1,1,1,3,0,0,0,0,2,1,2,0,0,0,7,0,1,1,0,10,0,0,1,1,2,0,7,0,3,1,5,1,2,1,3,0,1,9,0,0,0,10,0,1,0,0,0,0,0,1,1,2,0,5,2,1,4,1,1,2,3,1,0,1,3,9,1,1,0,2,0,1,0,0,1,1,1,1,1,2,0,18,1,1,1,0,2,0,1,0,1,10,2,0,1,2,0,1,1,0,0,1,0,5,0,0,0,1,2,0,0,0,1,5,1,0,0,0,14,0,2,0,0,0,0,0,14,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,12,0,3,3,1,1,0,1,0,cluster9
LilyPond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,cluster14
EmberScript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,cluster4
FLUX,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
Stan,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cluster4
Lua,1,11,1,0,12,0,0,8,1,1,33,5,8,2,6,0,14,1,1,3,9,10,2,1,16,0,22,7,2,3,0,1,1,0,408,0,2,0,7,1,17,19,0,1,1,0,5,1,0,2,0,2,1,13,3,1,3,8,0,110,0,2,0,0,1,2,1,1,0,51,13,6,1,49,3,1,100,1,1,0,9,1,0,3,1,0,0,8,6,1,1,0,0,1,1,8,1,5,0,0,4,6,3,14,18,0,0,0,14,1,11,1,1,74,0,5,1,1,42,4,15,0,7,1,18,17,39,1,8,1,1,57,0,0,0,65,0,18,0,12,7,0,5,1,10,8,6,5,5,0,7,7,11,0,14,1,0,1,4,19,13,10,0,16,1,5,0,3,7,8,5,5,1,16,0,128,7,0,1,2,10,1,1,0,2,28,3,0,9,16,1,10,3,0,0,1,21,83,0,0,0,1,3,0,0,0,5,73,27,6,0,0,111,0,6,0,1,4,1,0,116,15,1,7,4,1,12,1,0,1,2,0,1,1,2,2,1,6,0,1,1,3,7,0,1,78,1,46,5,1,15,0,15,1,cluster9
TLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,cluster4
Nemerle,0,3,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,2,2,1,2,2,0,2,1,0,1,0,0,0,0,2,0,8,0,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,3,0,1,1,1,0,4,0,0,0,0,0,1,1,1,0,3,1,0,0,0,1,0,2,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,3,0,0,1,1,2,0,1,0,0,1,3,1,3,1,1,0,1,2,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,2,1,0,1,1,3,1,1,0,2,0,1,0,0,1,1,3,1,1,1,0,4,1,0,1,0,3,0,1,0,1,3,0,0,1,2,0,1,0,0,0,1,0,3,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3,0,1,0,1,0,0,0,3,1,1,1,1,1,1,1,0,0,2,0,0,1,0,3,1,0,0,1,1,0,0,0,1,3,0,1,2,1,1,0,1,1,cluster9
RobotFramework,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,cluster4
VHDL,0,1,1,0,7,0,0,6,1,1,0,1,7,0,1,0,7,1,0,1,7,1,1,1,7,0,0,7,0,1,0,0,0,0,7,0,1,0,22,1,7,7,0,0,1,0,1,0,0,0,0,0,1,8,0,1,1,1,0,9,0,1,0,0,0,2,1,1,0,9,7,6,0,0,1,0,7,1,1,0,4,0,0,0,1,0,0,6,6,1,0,1,0,1,1,7,1,0,0,0,0,6,0,7,7,0,0,0,1,0,7,1,0,8,0,0,1,1,8,4,1,0,0,1,8,7,7,1,1,0,1,8,0,0,0,7,0,7,0,6,6,0,5,1,7,0,6,3,1,0,0,7,7,0,7,1,0,1,0,7,7,7,0,7,0,1,0,0,10,7,1,1,1,1,0,8,7,0,1,0,1,0,1,0,1,8,0,0,7,8,0,7,1,0,0,1,6,8,0,0,0,1,1,0,0,0,1,8,7,6,0,0,4,0,1,0,0,0,0,0,10,5,1,7,1,1,7,1,0,0,1,0,0,1,0,1,1,6,0,0,1,0,6,0,1,7,0,7,1,1,7,0,7,0,cluster9
Apex,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,56,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,1,0,cluster9
Erlang,1,7,1,1,10,0,0,6,1,1,3,2,7,0,2,0,13,1,0,1,7,10,1,1,8,0,3,7,4,1,0,0,0,0,17,0,1,0,7,1,136,21,0,0,1,0,1,0,0,1,0,0,1,8,0,1,2,4,0,45,1,1,0,0,1,2,1,1,0,30,9,6,0,6,2,0,38,1,1,0,5,0,0,0,1,0,0,6,6,1,2,1,0,1,1,7,3,1,1,0,1,6,0,10,11,0,0,0,6,0,7,1,0,19,0,0,3,1,19,4,9,0,1,1,15,10,22,1,4,0,1,10,0,0,0,34,0,19,0,8,6,0,5,1,10,3,6,4,1,2,1,7,10,2,15,1,0,1,5,15,11,14,0,9,1,2,0,0,7,9,1,1,1,10,0,52,7,0,1,1,7,2,1,0,1,15,0,0,7,11,1,16,2,0,0,1,7,41,0,1,0,1,2,0,0,0,8,34,17,6,0,0,28,0,1,0,2,2,0,0,31,13,1,7,4,1,17,1,0,0,1,1,0,1,2,1,1,6,1,0,1,1,9,0,1,26,1,36,2,1,19,0,19,0,cluster9
Haskell,0,12,1,0,14,0,0,7,1,1,3,3,9,1,7,0,16,1,1,2,8,7,1,1,8,0,7,7,2,1,0,0,0,0,19,1,1,0,7,1,21,290,1,0,1,0,3,1,0,0,0,2,1,13,0,1,4,4,0,46,1,1,0,0,2,2,1,1,0,28,12,6,0,9,2,0,40,1,1,0,7,0,0,0,1,0,0,6,6,1,2,0,0,1,1,7,2,2,0,0,1,6,0,12,14,0,0,0,7,0,7,1,1,18,0,1,2,1,21,4,7,0,2,1,14,9,23,1,4,1,2,18,0,0,0,33,0,16,0,8,7,0,5,1,10,6,6,3,1,0,1,7,12,1,14,1,0,1,4,20,13,11,0,9,0,6,0,0,7,9,2,2,2,5,0,56,7,0,1,3,2,1,1,6,1,15,0,0,7,14,0,10,1,1,0,2,7,45,0,0,0,1,3,0,0,0,7,36,25,6,0,0,35,3,2,0,0,1,0,0,38,17,1,7,4,1,15,1,0,0,1,1,0,1,3,1,2,7,0,2,1,1,14,0,2,38,1,34,2,1,16,0,22,0,cluster9
Coq,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,cluster4
Mako,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,6,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,1,0,cluster4
