lang_column,'Component Pascal','Emacs Lisp',Factor,AspectJ,Rust,RAML,PicoLisp,Cucumber,Tea,Boo,Objective-C++,Mathematica,Forth,CLIPS,Yacc,HCL,Scheme,Pony,Objective-J,Arduino,Ada,Awk,LLVM,BlitzBasic,ActionScript,Diff,Groff,XQuery,Alloy,'OpenEdge ABL',LilyPond,EmberScript,FLUX,Stan,Lua,TLA,Nemerle,RobotFramework,VHDL,Apex,Erlang,Haskell,Coq,Mako,AutoIt,Max,M,KiCad,Zephir,'Vim script','Propeller Spin',Lex,Ioke,Tcl,SQLPL,Golo,Nim,ASP,Harbour,Python,nesC,Handlebars,IDL,Arc,'Ragel in Ruby Host',Kotlin,'AGS Script',PigLatin,Gosu,Perl,Dart,OpenSCAD,HLSL,CMake,MoonScript,PAWN,Makefile,LOLCODE,Cool,Rouge,Fortran,Puppet,Vue,eC,Csound,QML,Ragel,TypeScript,Mask,Jasmin,F#,SystemVerilog,Frege,SuperCollider,Turing,Vala,Hy,SourcePawn,Cycript,Clarion,Nginx,Liquid,XS,'Common Lisp',Pascal,Gherkin,Parrot,Bro,Perl6,Cuda,ColdFusion,Hack,HyPhy,Objective-C,AMPL,Roff,NewLisp,Clean,C#,FreeMarker,Prolog,SQL,'DIGITAL Command Language',Oz,R,PowerShell,PHP,Omgrofl,M4,Terra,PureScript,Batchfile,Genshi,Self,MAXScript,CSS,BitBake,Clojure,Metal,'Protocol Buffer',JSONiq,NetLogo,Lean,XProc,Groovy,'Jupyter Notebook',Cirru,NSIS,PLSQL,UnrealScript,QMake,LSL,OCaml,Scilab,D,Mercury,Myghty,Nu,GAP,TeX,Haxe,LiveScript,GDScript,'Visual Basic','GCC Machine Description',Brainfuck,'Gettext Catalog','Csound Document',Verilog,Io,SAS,'Module Management System',ooc,VimL,'Web Ontology Language',Shell,ABAP,'POV-Ray SDL',PureBasic,Crystal,XSLT,UrWeb,Pike,Logos,Limbo,Assembly,'Inno Setup',LabVIEW,COBOL,Matlab,Thrift,Elixir,Processing,'Pure Data',REXX,Idris,GLSL,JavaScript,RenderScript,Fancy,Befunge,J,AppleScript,Lasso,XC,E,Racket,Java,Go,Eiffel,'API Blueprint',Brightscript,C,Gnuplot,DTrace,Eagle,Bison,ApacheConf,PLpgSQL,ANTLR,C++,Swift,Fantom,AutoHotkey,APL,Smali,Julia,Modula-2,SaltStack,'Graphviz (DOT)',xBase,XML,GDB,Squirrel,Smarty,Rebol,'Standard ML',Elm,Slash,'Game Maker Language',Dogescript,Smalltalk,Nix,Xtend,Agda,HTML,Volt,Ruby,PostScript,Opa,CoffeeScript,CartoCSS,Scala,Stata,cluster
Objective-C++,1,11,0,0,1,0,0,1,0,0,364,3,1,3,8,0,3,0,0,0,3,11,5,1,2,0,42,1,0,3,0,0,0,0,33,0,1,0,0,0,3,3,0,1,0,0,5,2,0,1,0,4,0,5,0,0,0,4,1,113,0,0,8,0,1,0,0,0,0,24,1,0,1,58,0,0,115,0,0,0,3,0,0,0,0,3,0,12,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,4,0,0,0,3,1,0,0,0,156,0,2,1,0,29,0,11,0,6,0,2,12,18,0,11,1,0,58,0,0,0,70,0,3,0,18,0,0,0,0,0,7,0,20,0,1,35,0,2,3,4,0,0,0,3,6,1,0,0,4,2,1,0,3,0,0,4,5,0,5,0,142,0,1,0,0,9,0,1,3,0,35,6,0,0,6,1,1,0,1,0,0,23,76,0,0,0,0,2,0,0,0,0,82,14,0,0,0,159,3,7,2,0,4,0,0,169,11,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,0,0,1,0,2,0,0,0,90,0,36,3,0,3,0,1,0,cluster14
Mathematica,0,4,1,0,1,0,1,0,1,1,3,36,2,0,2,0,3,1,1,1,1,3,1,1,3,0,4,1,0,1,0,0,1,0,5,0,1,0,1,1,2,3,0,0,1,0,9,0,0,0,0,1,1,2,0,1,2,2,1,13,0,0,0,0,1,1,1,1,0,9,2,0,1,9,1,0,12,1,1,0,4,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,2,0,1,0,0,0,0,3,3,0,0,0,5,0,1,1,1,13,0,1,2,1,6,0,3,0,2,1,4,1,4,1,3,1,1,8,0,0,0,8,0,2,0,0,0,0,0,1,2,1,0,1,1,0,0,1,4,1,3,2,0,1,2,4,2,2,1,3,0,2,0,0,1,3,2,2,1,2,0,13,1,0,1,0,1,1,1,0,1,4,0,0,1,6,0,2,0,1,0,1,2,6,0,1,0,1,2,0,0,1,1,7,2,0,0,0,17,1,4,0,0,0,0,0,16,2,1,1,1,1,2,1,0,0,1,0,1,1,0,2,1,0,1,0,1,3,0,0,1,11,0,6,2,1,3,0,5,0,cluster11
Forth,0,3,1,0,7,0,0,6,1,1,1,2,26,1,3,0,9,1,1,1,8,2,1,1,8,0,2,7,0,1,0,0,0,0,8,0,1,0,7,1,7,9,1,0,1,0,2,0,0,0,0,2,1,9,0,1,2,1,0,9,0,1,0,0,2,2,2,1,0,10,8,6,0,3,1,0,11,1,1,0,5,0,0,0,1,0,0,6,6,1,0,0,0,1,1,7,1,1,0,0,0,6,0,8,8,0,0,0,2,0,7,1,1,11,0,0,1,1,9,4,1,0,1,1,8,7,9,1,1,0,1,10,0,1,0,10,0,8,0,6,6,0,5,1,8,0,6,3,1,0,0,7,9,1,8,1,0,1,3,8,8,8,0,10,0,5,0,0,7,8,2,2,1,3,0,12,7,0,1,0,2,0,1,1,1,8,2,0,7,8,0,7,1,1,0,1,6,11,0,0,0,1,1,0,0,0,1,11,9,6,0,0,7,0,1,0,0,0,0,0,12,6,1,7,1,1,8,1,0,0,1,0,0,1,1,1,2,6,0,0,1,0,6,0,1,11,0,8,1,1,8,0,8,0,cluster9
CLIPS,0,5,0,0,0,0,0,0,0,0,3,0,1,20,2,0,4,0,0,0,6,4,1,1,1,0,5,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,6,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,6,0,0,0,3,0,0,0,0,7,0,0,0,0,6,0,4,0,4,0,2,2,3,0,3,0,0,5,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,2,2,0,0,0,2,6,0,0,0,3,0,1,0,0,0,0,5,4,0,2,0,8,0,0,0,0,3,0,0,1,0,6,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,5,2,0,0,0,8,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,5,0,1,1,0,0,0,0,0,cluster12
Yacc,0,12,1,0,2,0,1,0,1,1,8,2,3,2,174,1,8,1,0,1,3,33,7,1,1,0,31,2,0,7,0,0,0,0,6,0,1,0,1,1,2,7,0,0,1,3,2,0,0,2,0,58,1,10,1,1,1,7,0,58,0,0,1,0,1,1,1,1,0,46,1,0,0,17,1,2,70,1,1,0,4,1,0,3,1,1,1,2,0,1,0,0,1,2,1,1,1,22,0,2,0,2,6,2,8,0,0,1,16,0,1,1,0,40,0,4,1,1,9,0,9,0,9,1,6,1,15,1,21,2,1,28,0,0,0,27,0,8,0,7,0,0,0,1,1,0,0,5,3,16,5,1,4,11,3,1,0,1,10,13,2,1,1,4,1,2,0,1,1,1,3,5,1,8,0,70,1,3,1,0,14,0,2,9,3,36,3,0,1,3,0,3,0,2,1,1,3,27,1,0,0,1,4,0,0,2,2,22,8,0,0,0,77,3,9,0,0,1,2,1,68,2,1,1,1,1,1,1,0,0,2,0,9,1,3,3,3,0,0,1,1,0,0,0,1,40,0,17,8,1,5,0,7,0,cluster11
HCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,cluster4
Scheme,0,17,1,0,8,0,1,6,1,1,3,3,9,4,8,0,100,1,1,1,11,15,4,1,9,0,14,7,0,1,0,0,0,0,14,0,1,0,7,1,13,16,0,0,1,0,3,0,0,0,0,5,1,11,0,1,2,2,0,39,0,1,0,1,2,2,1,1,0,30,8,6,0,11,1,2,32,1,1,0,6,0,0,3,1,1,0,6,6,1,0,0,0,2,1,7,2,4,0,0,0,6,3,14,15,0,0,0,10,0,7,1,1,23,0,1,2,1,18,4,8,0,8,1,16,9,18,1,8,1,1,18,0,0,1,23,0,10,0,11,6,0,5,1,8,0,6,5,1,0,1,7,10,2,12,1,0,1,6,17,11,8,1,9,0,3,0,0,7,9,5,7,1,10,0,42,7,0,1,0,10,0,1,1,2,21,2,0,7,13,0,8,1,2,0,1,9,27,0,0,0,1,2,0,0,1,4,22,16,6,0,0,30,1,3,0,0,1,0,0,31,10,1,7,4,1,8,1,0,0,1,0,1,1,1,3,3,6,0,0,1,1,8,0,1,25,0,22,3,1,8,0,14,0,cluster9
Pony,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,4,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,2,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,2,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,2,1,1,1,0,1,0,cluster9
Objective-J,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,cluster4
Arduino,0,2,1,0,3,0,0,0,1,1,0,1,1,0,1,0,1,1,0,204,1,1,1,1,1,0,1,1,0,1,0,0,0,0,3,0,1,0,1,1,1,2,0,0,1,0,1,3,0,0,0,0,1,1,0,1,1,2,0,23,0,0,0,0,0,1,1,1,0,10,2,0,0,3,1,0,18,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,2,1,0,0,0,1,0,1,1,0,14,0,0,1,1,2,0,1,0,0,1,1,1,5,1,1,0,1,7,0,0,0,23,0,2,0,0,1,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,1,0,2,1,1,0,3,0,2,0,0,1,1,1,1,1,2,0,17,1,1,1,1,2,0,1,6,1,8,0,0,1,3,0,1,17,1,0,1,0,21,0,0,0,1,2,0,0,0,2,14,2,0,0,0,36,1,1,2,0,1,0,0,46,2,1,1,1,1,2,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,27,0,4,1,1,2,0,1,0,cluster9
