repo,Stan,Self,'Pure Data','Jupyter Notebook',Tcl,'Inno Setup',QMake,VHDL,Jasmin,NSIS,Max,OpenSCAD,Cucumber,ColdFusion,'GCC Machine Description',Nix,nesC,Matlab,Awk,'OpenEdge ABL',Perl6,Arduino,Mathematica,'Ragel in Ruby Host',COBOL,M,UrWeb,HCL,Harbour,Groovy,Brightscript,Cirru,SuperCollider,KiCad,PicoLisp,PowerShell,PostScript,NewLisp,'Gettext Catalog',GDScript,Makefile,Kotlin,Assembly,Xtend,Eagle,NetLogo,FLUX,SystemVerilog,Genshi,'Visual Basic',Slash,Eiffel,M4,PLSQL,C#,PLpgSQL,'DIGITAL Command Language',Handlebars,Forth,XSLT,XS,ApacheConf,ANTLR,XML,SAS,CoffeeScript,Thrift,Groff,LSL,GAP,Rebol,Nim,Parrot,SourcePawn,CMake,Clojure,Mercury,DTrace,CLIPS,Lua,GLSL,Rouge,D,OCaml,'Graphviz (DOT)',MAXScript,TeX,Cycript,GDB,'Game Maker Language',Lex,Go,Perl,SQLPL,Verilog,MoonScript,Nu,CSS,Elm,Fancy,LLVM,Erlang,Io,Elixir,Crystal,TypeScript,'AGS Script',Yacc,Haskell,IDL,Clean,AspectJ,AppleScript,Alloy,HTML,Racket,Roff,R,Nginx,Scilab,'Common Lisp',Python,'Component Pascal',Mako,Smali,Liquid,ABAP,PureBasic,Coq,Scheme,Julia,Smarty,VimL,Swift,'Vim script',Puppet,RenderScript,F#,HLSL,LiveScript,Befunge,QML,Batchfile,C++,PHP,Vue,Haxe,Idris,FreeMarker,'Module Management System','Protocol Buffer',C,Ada,Dart,XC,Clarion,JavaScript,Hack,PigLatin,E,Brainfuck,Nemerle,'Standard ML',Ruby,Bro,'POV-Ray SDL',Mask,PureScript,Terra,Agda,Fortran,Prolog,AutoHotkey,Processing,'Emacs Lisp',Lean,Smalltalk,Objective-C++,ActionScript,Pascal,Vala,Rust,XQuery,JSONiq,Gnuplot,Hy,Scala,Java,UnrealScript,Cuda,Shell,EmberScript,Stata,ASP,Myghty,Logos,SaltStack,Objective-C,Bison,cluster
10,0,0,0,10745,899,0,700,830,0,7034,0,333,390296,86,0,2212,0,203,1241,2615837,1230345,188,6459631,0,4,8970,0,0,0,114926,0,520,0,0,0,418,223726,0,0,0,3646,0,506,0,0,0,0,0,0,938,0,375,150298,0,5773799,0,0,173,979,7050,0,6006,0,0,0,872,0,3114,2080,0,0,0,0,0,131193,794,0,0,0,3996,512,0,324,539,0,3306053,1345,0,33,0,0,42170,678,0,274,0,0,0,487,0,0,487,140,692,0,1607,0,965,512,0,0,0,0,0,308232005,0,9510,1800,3898,0,1,183227,0,0,0,1883,962,0,0,559,210,4932,74097,6781,44407,0,0,0,40945,5747,0,0,598,198970,13937857,0,447,0,0,0,274,6383,99,489,0,0,670,0,0,0,0,0,0,1719,0,0,597,0,0,0,3291,18580,720,0,0,213,0,43048,1133,1412,485,495,114,4,0,0,52828,686207,0,231,1768,0,0,1468964,0,0,0,295960,0,cluster2
11,0,0,0,278821,10209,0,376,0,0,0,0,0,0,0,0,0,0,28718,0,0,42958,0,0,0,0,0,0,0,0,153084,0,0,0,0,0,162,63,0,0,0,1898,0,1319,0,0,0,0,0,0,200530,0,0,52077,0,1049,0,0,0,0,0,0,158,0,229133,0,422,0,3840,0,6289,0,0,454926,0,1769,31739,0,3887,0,1008,1654,0,0,0,2496811,0,11601,0,0,14164,0,720974,2842,0,0,0,8928,38851,0,0,0,28665,0,0,0,938092,0,62812,254,0,0,0,0,0,22389,0,0,384014,599,0,0,4274,0,0,0,0,0,0,0,1318,15806,0,2090,59705,0,2682,0,0,0,7282,0,0,25348,140956,483,0,218,0,0,0,11598,1345,0,0,0,0,7769,0,0,0,0,0,0,41538,0,0,0,0,417436,0,8393,1782,0,0,734,0,0,535,0,114241,0,0,0,0,103851,0,3908,6118,0,14720,1445,0,42685,0,0,128668,0,87381,1038,cluster1
12,0,0,0,655183,0,3101,0,0,0,26909,0,0,0,0,8,0,0,24376,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,1006,0,0,0,0,773,0,142414,0,0,0,0,0,0,0,0,0,31711,1254,55626,11970,27303,0,0,5437,0,24139,0,0,1847,211,19129,272212,0,0,0,0,0,0,19712,16297,12573,0,5291,19471,0,0,156046,1411,0,0,5638,0,0,0,0,1559295,170095,36125,0,0,0,258497,0,0,40770,0,0,0,7469,13278,0,47077,6438,10287,0,0,0,0,1650,0,0,3204,1366,761,0,7407,0,494,0,0,0,0,0,19885,0,130,4075,2638,0,0,0,0,0,0,0,0,4998,10899,3471,11291,0,0,0,1545,12071,231851,89080,0,0,0,249052,0,2818,0,0,0,0,11652,0,0,0,0,0,0,0,2255,0,0,14357,0,10750,1873,0,145688,0,80031,0,0,1023,0,8436,8504,0,35093,350,0,510,0,0,0,0,69972,0,cluster1
13,0,0,0,133846,0,93892,0,0,0,0,0,0,0,0,0,0,0,251170,3372,21878208,0,0,0,21876,0,435,0,0,0,5545,0,0,0,0,0,0,0,0,0,0,110611,0,27774,0,0,0,0,0,0,11935,0,0,0,0,35179,0,0,0,174776,68682,0,48278,0,0,206,5786,0,5379,0,174776,572,0,0,0,390,0,0,0,0,124117,75574,0,0,0,0,0,78213,0,0,0,4054,17047,401,13430,0,1013,0,326572,0,0,0,11725,0,0,0,21062,0,5889,2163,516,0,0,292,0,37723,0,0,78860,0,0,0,26078,0,0,33431,0,0,0,0,0,0,261841,1897,28176,0,0,0,0,0,329,0,0,20452,166562,160241,0,0,0,0,0,3970,26568,0,0,0,0,468959,0,0,0,174776,0,0,5837,0,0,0,0,0,0,3944,0,0,3937,6465,0,0,490,0,252163,0,3144,0,0,1125,0,584,7258,0,261510,182,0,0,0,0,0,0,2516,0,cluster1
14,0,0,0,5377903,899,0,0,830,0,5575,0,333,699,86,109,2212,0,338731,0,0,0,0,70472,0,4,146,0,0,0,1080,0,520,0,0,0,2605,0,0,0,0,198,55497,549,0,0,0,0,0,0,916,0,375,0,2168,2059500,0,0,0,979,0,0,24139,30181,0,0,403,33605,26858,2080,19304,7230,0,0,0,3808,8901,0,0,0,178429,512,0,324,539,0,0,1345,0,0,0,0,641,678,0,274,0,0,610895,487,0,0,487,140,692,0,139819,0,0,512,0,0,0,0,22459,3151237,0,0,8548,1366,0,632,11688,0,0,0,1883,1,0,0,559,210,0,0,4232,61934,0,0,0,0,5790,0,0,260,203890,1684,0,447,0,1017,0,274,638,99,489,0,0,10111,0,0,0,0,0,0,531,0,0,597,0,0,13094,0,520,720,1628,3132,213,290600,0,1133,1412,485,495,114,4,0,0,6905,33960,0,0,180,0,0,112,0,0,0,186902,0,cluster2
15,0,0,0,795790,0,0,0,0,0,16275,0,0,0,0,19,0,0,443546,121,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,13427,18131,0,0,0,47787,87449,18203,0,0,0,0,0,0,0,0,0,37198,4139,1139309,638395,0,0,0,7050,0,240,0,0,0,478867,2016,5379,0,3637,0,0,0,0,16170,15443,0,0,0,4211,40128,0,0,1855,0,0,8663,0,0,0,0,28079,43784,52424,0,0,0,21768,0,0,0,5548,0,0,0,62256,0,0,7867,897,7372,0,0,0,27335,0,2212,527824,0,0,0,810625,0,0,0,0,0,0,0,0,0,27542,2062,109022,0,0,0,0,0,0,0,0,37,2015206,516,0,0,0,48554,0,0,6957,0,0,0,0,4650,1885,0,0,0,0,0,72338,4197,0,0,1842,0,0,3291,287,0,0,7170,0,0,1897,0,0,0,0,0,0,240,0,15280,1932679,0,0,35,0,0,0,0,354,0,681,0,cluster1
16,0,0,0,1882397,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,247169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3339,61,0,0,0,8192,0,3170663,0,0,0,0,0,0,13986,0,0,0,0,5984,0,0,0,0,0,0,2556,0,0,0,844,5492,39506,0,0,0,0,0,0,130695,9138,0,0,0,7849,787,0,0,0,0,0,92772,0,0,0,347,14323,3799,0,0,0,0,32111,0,0,0,0,0,0,0,10472,0,2055,3380,0,0,0,0,0,623221,0,0,1179,0,0,51551,316662,0,581,0,0,0,0,0,0,0,20965,3445,29080,9649,0,0,1900,0,7961,0,0,23,4000,81145,0,0,0,2404,0,129267,11203,0,0,0,0,9939,0,0,0,0,0,0,1146,0,0,0,0,0,0,0,0,0,0,14029,0,0,5313,153464,0,0,193,0,0,0,0,10818,906110,0,612102,27802,0,0,0,0,0,0,207,0,cluster1
17,0,0,0,46333,0,3873,0,0,0,0,0,0,0,0,0,0,0,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,62739,0,0,0,3139,0,11052,0,0,0,0,0,0,0,0,0,38334,0,60045,0,4055,7129,0,104232,0,560,0,0,0,29690,0,3111,0,0,412,0,0,1753,9731,0,127,0,0,0,1082,0,0,0,0,0,1909,0,0,0,16711,73131,131309,0,42,0,0,3369,0,0,221,0,0,0,0,18903649,0,45679,0,264207,0,0,0,0,9899,0,0,36464,3049,0,6055,1701377,0,412,0,0,0,0,0,154,0,109605,17359,570684,0,0,0,0,0,0,0,0,4934,19044,1139,0,0,0,0,99249,678,33589,0,0,0,0,13767,0,0,0,0,0,32,490,0,0,0,0,0,0,0,467819,0,0,11377,0,0,1120974,19954,0,0,0,0,0,9058,0,67140,5195,0,0,2326,0,91727,20877,0,0,0,28733,0,cluster1
18,0,0,0,72876,2530,0,0,0,0,0,0,0,0,0,0,0,0,19996,0,0,814,0,0,0,0,1598,0,0,0,0,0,0,0,0,0,0,4837,0,0,0,129,0,409657,0,0,0,0,0,0,0,0,0,0,1092881,21901,63466,0,664,0,0,0,24139,0,0,0,6836,0,0,0,0,0,0,0,0,55168,13778,0,0,0,219585,100177,0,0,0,0,0,19308,0,0,0,0,10909,3985,0,0,0,0,119385,0,0,8408,0,0,0,0,3193538,0,27659,0,0,0,0,0,0,16959,0,0,81994,0,23631,13925,136245,0,0,0,0,0,0,0,0,0,27852,1315,4412,0,0,0,1695,0,0,0,0,140,518982,1526,0,0,0,0,0,13345,182817,0,0,0,0,26255,0,0,0,0,0,0,24185,0,0,0,0,0,0,0,0,0,0,274262,0,0,147906,1,0,0,13499,0,0,0,0,904608,49508,0,0,88,0,9895,0,0,0,0,1053414,0,cluster1
19,0,0,0,20222131,0,66113,5210,0,0,0,0,0,0,0,0,0,0,0,0,0,20507,6022,18993,0,0,2173,17437,0,0,8710,0,0,0,0,0,0,2604,19702,0,0,3076,23681,4256,0,0,0,0,19318,0,353,18594,0,5441,66,3353,0,0,8650,0,7619,17109,4158,0,0,0,24432,91890,4575,0,13291,0,0,0,0,7538,22002,0,0,0,0,2434,0,0,564,0,0,1032,19945,0,0,0,99659,1558759,0,0,0,0,593,0,119,0,20393,4943,5124,0,3773441,0,28371,149415,393,0,0,0,0,18494,0,0,2637,9103,0,638,26578,0,581,0,0,0,0,0,0,44776,0,115,333529,2063,0,0,0,0,0,0,0,299,161908,141634,563,0,0,0,0,20402,1261,0,0,17615,0,7189,0,12333,0,0,0,0,189,0,0,0,0,0,0,10216,25,0,1691,32256,0,19650,0,849,0,0,0,0,0,0,20547,1695990,11631,0,0,578,0,32584,1,0,116114,2717,91825,0,cluster1
